StartTime: 2025-07-09 16:50:43
Timestamp;W;A;D;Space;HP;HRV;State;Breathing;Death;EnemiesVisible;Checkpoint;X;Y
0,00;0;0;0;0;85;0;0;0;0;0;0;-14,00;20,19
0,00;0;0;0;0;85;104;0;0;0;0;0;-14,00;20,19
0,02;0;0;0;0;85;104;0;0;0;0;0;-14,00;20,16
0,04;0;0;0;0;85;104;0;0;0;0;0;-14,00;20,12
0,05;0;0;0;0;85;104;0;0;0;0;0;-14,00;20,06
0,07;0;0;0;0;85;104;0;0;0;0;0;-14,00;19,99
0,09;0;0;0;0;85;104;0;0;0;0;0;-14,00;19,99
0,10;0;0;0;0;85;104;0;0;0;0;0;-14,00;19,91
0,12;0;0;0;0;85;104;0;0;0;0;0;-14,00;19,82
0,14;0;0;0;0;85;104;0;0;0;0;0;-14,00;19,71
0,15;0;0;0;0;85;104;0;0;0;0;0;-14,00;19,58
0,17;0;0;0;0;85;104;0;0;0;0;0;-14,00;19,44
0,19;0;0;0;0;85;104;0;0;0;0;0;-14,00;19,44
0,20;0;0;0;0;85;104;0;0;0;0;0;-14,00;19,29
0,22;0;0;0;0;85;104;0;0;0;0;0;-14,00;19,13
0,24;0;0;0;0;85;104;0;0;0;0;0;-14,00;18,95
0,25;0;0;0;0;85;104;0;0;0;0;0;-14,00;18,76
0,27;0;0;0;0;85;104;0;0;0;0;0;-14,00;18,55
0,29;0;0;0;0;85;104;0;0;0;0;0;-14,00;18,55
0,30;0;0;0;0;85;104;0;0;0;0;0;-14,00;18,33
0,32;0;0;0;0;85;104;0;0;0;0;0;-14,00;18,10
0,34;0;0;0;0;85;104;0;0;0;0;0;-14,00;17,85
0,35;0;0;0;0;85;104;0;0;0;0;0;-14,00;17,59
0,37;0;0;0;0;85;104;0;0;0;0;0;-14,00;17,59
0,39;0;0;0;0;85;104;0;0;0;0;0;-14,00;17,32
0,40;0;0;0;0;85;104;0;0;0;0;0;-14,00;17,03
0,42;0;0;0;0;85;104;0;0;0;0;0;-14,00;16,73
0,44;0;0;0;0;85;104;0;0;0;0;0;-14,00;16,41
0,45;0;0;0;0;85;104;0;0;0;0;0;-14,00;16,08
0,47;0;0;0;0;85;104;0;0;0;0;0;-14,00;16,08
0,49;0;0;0;0;85;104;0;0;0;0;0;-14,00;15,74
0,50;0;0;0;0;85;104;0;0;0;0;0;-14,00;15,38
0,52;0;0;0;0;85;104;0;0;0;0;0;-14,00;15,01
0,54;0;0;0;0;85;104;0;0;0;0;0;-14,00;14,62
0,55;0;0;0;0;85;104;0;0;0;0;0;-14,00;14,23
0,57;0;0;0;0;85;104;0;0;0;0;0;-14,00;14,23
0,59;0;0;0;0;85;104;0;0;0;0;0;-14,00;13,81
0,60;0;0;0;0;85;104;0;0;0;0;0;-14,00;13,39
0,62;0;0;0;0;85;104;0;0;0;0;0;-14,00;12,95
0,64;0;0;0;0;85;104;0;0;0;0;0;-14,00;12,50
0,65;0;0;0;0;85;104;0;0;0;0;0;-14,00;12,03
0,67;0;0;0;0;85;104;0;0;0;0;0;-14,00;12,03
0,68;0;0;0;0;85;104;0;0;0;0;0;-14,00;11,55
0,70;0;0;0;0;85;104;0;0;0;0;0;-14,00;11,05
0,72;0;0;0;0;85;104;0;0;0;0;0;-14,00;10,55
0,73;0;0;0;0;85;104;0;0;0;0;0;-14,00;10,02
0,75;0;0;0;0;85;104;0;0;0;0;0;-14,00;9,49
0,77;0;0;0;0;85;104;0;0;0;0;0;-14,00;9,49
0,78;0;0;0;0;85;104;0;0;0;0;0;-14,00;8,94
0,80;0;0;0;0;85;104;0;0;0;0;0;-14,00;8,38
0,82;0;0;0;0;85;104;0;0;0;0;0;-14,00;7,80
0,83;0;0;0;0;85;104;0;0;0;0;0;-14,00;7,21
0,85;0;0;0;0;85;104;0;0;0;0;0;-14,00;6,60
0,87;0;0;0;0;85;104;0;0;0;0;0;-14,00;6,60
0,88;0;0;0;0;85;104;0;0;0;0;0;-14,00;5,99
0,90;0;0;0;0;85;104;0;0;0;0;0;-14,00;5,35
0,92;0;0;0;0;85;104;0;0;0;0;0;-14,00;4,71
0,93;0;0;0;0;85;104;0;0;0;0;0;-14,00;4,05
0,95;0;0;0;0;85;104;0;0;0;0;0;-14,00;3,38
0,97;0;0;0;0;85;104;0;0;0;0;0;-14,00;3,38
0,98;0;0;0;0;85;104;0;0;0;0;0;-14,00;2,69
1,00;0;0;0;0;85;104;0;0;0;0;0;-14,00;1,99
1,02;0;0;0;0;85;104;0;0;0;0;0;-14,00;1,27
1,03;0;0;0;0;85;104;0;0;0;0;0;-14,00;0,55
1,05;0;0;0;0;85;104;0;0;0;0;0;-14,00;-0,19
1,07;0;0;0;0;85;104;0;0;0;0;0;-14,00;-0,19
1,08;0;0;0;0;85;104;0;0;0;0;0;-14,00;-0,95
1,10;0;0;0;0;85;104;0;0;0;0;0;-14,00;-1,72
1,12;0;0;0;0;85;104;0;0;0;0;0;-14,00;-2,50
1,13;0;0;0;0;85;104;0;0;0;0;0;-14,00;-3,30
1,15;0;0;0;0;85;104;0;0;0;0;0;-14,00;-4,11
1,17;0;0;0;0;85;104;0;0;0;0;0;-14,00;-4,11
1,18;0;0;0;0;85;104;0;0;0;0;0;-14,00;-4,93
1,20;0;0;0;0;85;104;0;0;0;0;0;-14,00;-5,77
1,22;0;0;0;0;85;104;0;0;0;0;0;-14,00;-6,62
1,23;0;0;0;0;85;104;0;0;0;0;0;-14,00;-7,49
1,25;0;0;0;0;85;104;0;0;0;0;0;-14,00;-8,37
1,27;0;0;0;0;85;104;0;0;0;0;0;-14,00;-8,37
1,28;0;0;0;0;85;104;0;0;0;0;0;-14,00;-9,13
1,30;0;0;0;0;85;104;0;0;0;0;0;-14,00;-9,13
1,32;0;0;0;0;85;104;0;0;0;0;0;-14,00;-9,13
1,33;0;0;0;0;85;104;0;0;0;0;0;-14,00;-9,13
